,Result_Value_Flow,Result_Value_Ammonia,Result_Value_Nitrate + Nitrite as N,Result_Value_Total Persulfate Nitrogen,Result_Value_Dissolved Organic Carbon
2008-10-14,19.0,,,,
2008-11-04,19.0,,,,
2009-01-13,31.0,,,,
2009-03-10,16.0,,,,
2009-04-14,34.0,,,,
2009-05-12,21.0,,,,
2009-06-09,4.0,,,,
2009-07-14,1.0,,,,
2009-08-11,1.0,,,,
2009-09-09,6.0,,,,
2009-10-13,14.0,0.01,0.118,0.167,
2009-11-03,4.0,0.01,0.097,0.23,
2009-12-08,14.0,0.01,0.254,0.293,
2010-01-12,330.0,0.01,0.256,0.351,
2010-02-10,22.0,0.01,0.194,0.303,
2010-03-09,21.0,0.01,0.175,0.243,
2010-04-13,25.0,0.01,0.146,0.213,
2010-05-11,14.0,0.01,0.094,0.165,
2010-06-15,12.0,0.01,0.1,0.185,
2010-07-20,3.0,0.01,0.19,0.291,
2010-08-17,1.0,0.012,0.191,0.258,
2010-09-21,3.0,0.01,0.131,0.186,
2010-10-20,4.0,0.01,0.155,0.29,
2010-11-18,27.0,0.01,0.223,0.359,
2010-12-15,131.0,0.011,0.286,0.339,
2011-01-12,28.0,0.01,0.289,0.379,
2011-02-16,98.0,0.01,0.321,0.399,3.6
2011-03-16,226.0,0.01,0.205,0.247,
2011-04-13,25.0,0.01,0.118,0.188,
2011-05-11,11.0,0.01,0.075,0.135,
2011-06-22,5.0,0.01,0.189,0.247,
2011-07-20,3.0,0.01,0.187,0.245,
2011-08-10,1.0,0.01,0.206,0.246,
2011-09-20,7.0,0.01,0.151,0.211,
